Customer ID,Monetary,Frequency,Recency,R_Score,F_Score,M_Score,RFM_Score,Segment
12346.0,77556.46,34,326,2,2,5,225,Lost Customers
12347.0,4921.53,222,2,5,5,5,555,Champions
12348.0,2019.4,51,75,3,3,4,334,Need Attention
12349.0,4428.69,175,19,5,5,5,555,Champions
12350.0,334.4,17,310,2,2,2,222,Lost Customers
12351.0,300.93,21,375,2,2,2,222,Lost Customers
12352.0,2849.84,103,36,4,4,4,444,Champions
12353.0,406.76,24,204,2,2,2,222,Lost Customers
12354.0,1079.4,58,232,2,3,3,233,At Risk
12355.0,947.61,35,214,2,2,3,223,Lost Customers
12356.0,6371.73,142,23,4,4,5,445,Champions
12357.0,18287.66,296,33,4,5,5,455,Champions
12358.0,3887.07,77,2,5,4,5,545,Champions
12359.0,8873.39,362,58,4,5,5,455,Champions
12360.0,4252.89,217,52,4,5,5,455,Champions
12361.0,511.25,29,287,2,2,2,222,Lost Customers
12362.0,5356.23,267,3,5,5,5,555,Champions
12363.0,552.0,23,110,3,2,2,322,Need Attention
12364.0,1313.1,85,8,5,4,4,544,Champions
12365.0,641.38,22,291,2,2,3,223,Lost Customers
12366.0,500.24,3,634,1,1,2,112,Lost Customers
12367.0,168.9,11,4,5,1,1,511,New Customers
12368.0,917.6999999999999,18,628,1,2,3,123,Lost Customers
12369.0,1791.15,93,413,1,4,4,144,At Risk
12370.0,4316.56,201,51,4,5,5,455,Champions
12371.0,4067.38,167,45,4,4,5,445,Champions
12372.0,1298.04,52,72,3,3,4,334,Need Attention
12373.0,1127.65,51,311,2,3,3,233,At Risk
12374.0,2989.2200000000003,83,25,4,4,5,445,Champions
12375.0,457.5,17,11,5,2,2,522,Potential Loyalists
12376.0,503.15,13,390,2,1,2,212,Lost Customers
12377.0,3426.32,152,315,2,4,5,245,At Risk
12378.0,5416.32,301,130,3,5,5,355,Loyal Customers
12379.0,1620.22,81,82,3,4,4,344,Loyal Customers
12380.0,9676.300000000001,277,22,4,5,5,455,Champions
12381.0,1845.31,87,5,5,4,4,544,Champions
12383.0,1850.56,99,185,3,4,4,344,Loyal Customers
12384.0,585.27,27,29,4,2,2,422,Potential Loyalists
12385.0,1938.4,65,379,2,3,4,234,At Risk
12386.0,401.9,10,338,2,1,2,212,Lost Customers
12387.0,143.94,9,415,1,1,1,111,Lost Customers
12388.0,3901.11,146,16,5,4,5,545,Champions
12389.0,1433.33,49,403,2,3,4,234,At Risk
12390.0,549.84,32,80,3,2,2,322,Need Attention
12391.0,2724.84,267,22,4,5,4,454,Champions
12392.0,234.75000000000003,7,591,1,1,1,111,Lost Customers
12393.0,2399.4500000000003,107,72,3,4,4,344,Loyal Customers
12394.0,1272.48,27,64,3,2,4,324,Need Attention
12395.0,4721.17,242,19,5,5,5,555,Champions
12396.0,931.43,65,674,1,3,3,133,At Risk
12397.0,2409.9,126,36,4,4,4,444,Champions
12398.0,1635.6599999999999,85,46,4,4,4,444,Champions
12399.0,1962.3,110,119,3,4,4,344,Loyal Customers
12400.0,205.25,11,414,1,1,1,111,Lost Customers
12401.0,84.3,5,303,2,1,1,211,Lost Customers
12402.0,1256.9,70,323,2,3,4,234,At Risk
12403.0,1019.36,9,50,4,1,3,413,Need Attention
12404.0,63.24,1,682,1,1,1,111,Lost Customers
12405.0,1710.39,54,149,3,3,4,334,Need Attention
12406.0,6390.36,166,22,4,4,5,445,Champions
12407.0,1708.1200000000001,77,50,4,4,4,444,Champions
12408.0,4340.7699999999995,159,33,4,4,5,445,Champions
12409.0,23419.29,264,79,3,5,5,355,Loyal Customers
12410.0,1013.71,40,309,2,3,3,233,At Risk
12411.0,346.9,22,410,2,2,2,222,Lost Customers
12412.0,2596.93,127,75,3,4,4,344,Loyal Customers
12413.0,999.45,51,67,3,3,3,333,Need Attention
12414.0,952.41,28,217,2,2,3,223,Lost Customers
12415.0,144458.37,926,24,4,5,5,455,Champions
12416.0,202.56,11,657,1,1,1,111,Lost Customers
12417.0,6797.41,369,3,5,5,5,555,Champions
12418.0,2021.2,102,113,3,4,4,344,Loyal Customers
12419.0,503.01,25,386,2,2,2,222,Lost Customers
12420.0,600.39,29,64,3,2,2,322,Need Attention
12421.0,1098.6,65,16,5,3,3,533,Potential Loyalists
12422.0,5231.8,172,96,3,4,5,345,Loyal Customers
12423.0,2622.39,165,1,5,4,4,544,Champions
12424.0,3340.03,92,163,3,4,5,345,Loyal Customers
12425.0,1741.41,91,78,3,4,4,344,Loyal Customers
12426.0,1345.21,77,195,2,4,4,244,At Risk
12427.0,825.8,31,22,4,2,3,423,Potential Loyalists
12428.0,7956.46,294,26,4,5,5,455,Champions
12429.0,6204.41,153,9,5,4,5,545,Champions
12430.0,256.4,11,43,4,1,1,411,Need Attention
12431.0,10432.22,390,36,4,5,5,455,Champions
12432.0,5059.32,108,43,4,4,5,445,Champions
12433.0,16794.14,559,1,5,5,5,555,Champions
12434.0,1103.43,70,85,3,3,3,333,Need Attention
12435.0,13925.93,112,80,3,4,5,345,Loyal Customers
12436.0,509.01,16,100,3,1,2,312,Need Attention
12437.0,12683.4,563,2,5,5,5,555,Champions
12438.0,2906.85,98,14,5,4,4,544,Champions
12439.0,1142.88,71,683,1,3,3,133,At Risk
12440.0,859.2,32,462,1,2,3,123,Lost Customers
12441.0,173.55,11,367,2,1,1,211,Lost Customers
12442.0,172.06,12,3,5,1,1,511,New Customers
12443.0,485.31,21,732,1,2,2,122,Lost Customers
12444.0,5005.46,176,21,4,5,5,455,Champions
12445.0,434.98,24,22,4,2,2,422,Potential Loyalists
12446.0,1002.3100000000001,57,58,4,3,3,433,Potential Loyalists
12447.0,476.49,26,243,2,2,2,222,Lost Customers
12448.0,449.45,22,44,4,2,2,422,Potential Loyalists
12449.0,4835.89,201,22,4,5,5,455,Champions
12450.0,688.2,37,156,3,2,3,323,Need Attention
12451.0,12669.88,511,11,5,5,5,555,Champions
12452.0,430.57,22,17,5,2,2,522,Potential Loyalists
12453.0,707.09,43,134,3,3,3,333,Need Attention
12454.0,16679.78,40,56,4,3,5,435,Potential Loyalists
12455.0,5879.95,227,73,3,5,5,355,Loyal Customers
12456.0,3181.04,125,44,4,4,5,445,Champions
12457.0,2995.91,84,66,3,4,5,345,Loyal Customers
12458.0,1777.49,84,71,3,4,4,344,Loyal Customers
12459.0,454.36,23,605,1,2,2,122,Lost Customers
12460.0,326.65,18,456,1,2,2,122,Lost Customers
12461.0,826.88,35,94,3,2,3,323,Need Attention
12462.0,1189.59,62,19,5,3,3,533,Potential Loyalists
12463.0,1344.78,83,53,4,4,4,444,Champions
12464.0,1212.05,29,10,5,2,3,523,Potential Loyalists
12465.0,742.1899999999999,47,17,5,3,3,533,Potential Loyalists
12466.0,56.73,1,682,1,1,1,111,Lost Customers
12467.0,132.8,9,423,1,1,1,111,Lost Customers
12468.0,3670.74,150,188,3,4,5,345,Loyal Customers
12469.0,3070.54,76,523,1,4,5,145,At Risk
12470.0,211.95,23,690,1,2,1,121,Lost Customers
12471.0,39918.19,1135,2,5,5,5,555,Champions
12472.0,16249.289999999999,841,32,4,5,5,455,Champions
12473.0,3928.0499999999997,167,29,4,4,5,445,Champions
12474.0,12372.75,708,17,5,5,5,555,Champions
12475.0,1149.64,61,54,4,3,3,433,Potential Loyalists
12476.0,14083.91,514,16,5,5,5,555,Champions
12477.0,20276.37,564,23,4,5,5,455,Champions
12478.0,680.99,36,4,5,2,3,523,Potential Loyalists
12479.0,527.2,31,11,5,2,2,522,Potential Loyalists
12480.0,5464.85,242,28,4,5,5,455,Champions
12481.0,12185.51,380,23,4,5,5,455,Champions
12482.0,23691.4,204,576,1,5,5,155,At Risk
12483.0,5097.18,138,17,5,4,5,545,Champions
12484.0,6354.1,471,33,4,5,5,455,Champions
12485.0,708.1,34,529,1,2,3,123,Lost Customers
12486.0,1037.28,49,432,1,3,3,133,At Risk
12487.0,285.29999999999995,2,731,1,1,1,111,Lost Customers
12488.0,1298.66,55,10,5,3,4,534,Potential Loyalists
12489.0,334.93,15,336,2,1,2,212,Lost Customers
12490.0,9823.64,462,5,5,5,5,555,Champions
12491.0,460.40000000000003,26,39,4,2,2,422,Potential Loyalists
12492.0,715.21,42,63,3,3,3,333,Need Attention
12493.0,433.74,22,166,3,2,2,322,Need Attention
12494.0,1815.27,108,16,5,4,4,544,Champions
12495.0,357.4,17,641,1,2,2,122,Lost Customers
12496.0,45.34,10,620,1,1,1,111,Lost Customers
12497.0,6248.5,57,82,3,3,5,335,Need Attention
12498.0,403.70000000000005,23,21,4,2,2,422,Potential Loyalists
12499.0,393.72,27,560,1,2,2,122,Lost Customers
12500.0,5955.21,146,23,4,4,5,445,Champions
12501.0,2169.39,149,337,2,4,4,244,At Risk
12502.0,3723.87,147,96,3,4,5,345,Loyal Customers
12503.0,1126.0,2,584,1,1,3,113,Lost Customers
12504.0,779.05,20,18,5,2,3,523,Potential Loyalists
12505.0,955.2,42,409,2,3,3,233,At Risk
12506.0,73.5,23,233,2,2,1,221,Lost Customers
12507.0,1844.06,49,134,3,3,4,334,Need Attention
12508.0,397.88,68,26,4,3,2,432,Potential Loyalists
12509.0,176.5,7,284,2,1,1,211,Lost Customers
12510.0,5178.02,145,143,3,4,5,345,Loyal Customers
12511.0,3084.02,190,429,1,5,5,155,At Risk
12512.0,132.18,31,66,3,2,1,321,Need Attention
12513.0,612.29,35,113,3,2,3,323,Need Attention
12514.0,1597.76,84,267,2,4,4,244,At Risk
12515.0,383.7,16,353,2,1,2,212,Lost Customers
12516.0,2648.62,74,78,3,3,4,334,Need Attention
12517.0,2481.6,279,28,4,5,4,454,Champions
12518.0,2056.89,124,1,5,4,4,544,Champions
12519.0,716.54,39,64,3,3,3,333,Need Attention
12520.0,2634.26,152,79,3,4,4,344,Loyal Customers
12521.0,599.68,38,143,3,3,2,332,Need Attention
12522.0,192.72,12,39,4,1,1,411,Need Attention
12523.0,4352.35,249,19,5,5,5,555,Champions
12524.0,11126.11,240,9,5,5,5,555,Champions
12525.0,973.73,60,498,1,3,3,133,At Risk
12526.0,1316.66,71,1,5,3,4,534,Potential Loyalists
12527.0,735.51,32,82,3,2,3,323,Need Attention
12528.0,1933.48,92,9,5,4,4,544,Champions
12529.0,316.48,21,528,1,2,2,122,Lost Customers
12530.0,3759.26,158,60,3,4,5,345,Loyal Customers
12531.0,1933.2,127,15,5,4,4,544,Champions
12532.0,349.83000000000004,16,30,4,1,2,412,Need Attention
12533.0,1367.89,72,628,1,3,4,134,At Risk
12534.0,1089.18,63,131,3,3,3,333,Need Attention
12535.0,716.35,34,92,3,2,3,323,Need Attention
12536.0,12601.830000000002,261,43,4,5,5,455,Champions
12537.0,732.94,43,409,2,3,3,233,At Risk
12538.0,640.45,34,29,4,2,3,423,Potential Loyalists
12539.0,11214.75,504,22,4,5,5,455,Champions
12540.0,22254.49,771,20,4,5,5,455,Champions
12541.0,981.18,52,30,4,3,3,433,Potential Loyalists
12542.0,481.88,39,484,1,3,2,132,At Risk
12543.0,980.25,43,448,1,3,3,133,At Risk
12544.0,372.7,19,36,4,2,2,422,Potential Loyalists
12545.0,1000.39,50,75,3,3,3,333,Need Attention
12546.0,1161.5,69,47,4,3,3,433,Potential Loyalists
12547.0,383.58,21,198,2,2,2,222,Lost Customers
12548.0,95.19999999999999,5,166,3,1,1,311,Need Attention
12549.0,1575.68,49,576,1,3,4,134,At Risk
12550.0,964.83,57,79,3,3,3,333,Need Attention
12551.0,168.0,10,358,2,1,1,211,Lost Customers
12552.0,437.82,20,39,4,2,2,422,Potential Loyalists
12553.0,4608.75,238,8,5,5,5,555,Champions
12554.0,468.5,26,449,1,2,2,122,Lost Customers
12555.0,129.23,1,682,1,1,1,111,Lost Customers
12556.0,599.56,119,50,4,4,2,442,Loyal Customers
12557.0,18096.14,53,16,5,3,5,535,Potential Loyalists
12558.0,269.96,11,8,5,1,1,511,New Customers
12559.0,561.71,21,311,2,2,2,222,Lost Customers
12560.0,2134.01,105,5,5,4,4,544,Champions
12561.0,238.85,16,303,2,1,1,211,Lost Customers
12562.0,4966.92,207,8,5,5,5,555,Champions
12563.0,249.24,13,409,2,1,1,211,Lost Customers
12564.0,456.9,21,261,2,2,2,222,Lost Customers
12565.0,145.92,9,289,2,1,1,211,Lost Customers
12566.0,351.65,19,86,3,2,2,322,Need Attention
12567.0,11767.48,556,23,4,5,5,455,Champions
12568.0,70.0,5,645,1,1,1,111,Lost Customers
12569.0,4124.69,188,2,5,5,5,555,Champions
12570.0,77.52,1,682,1,1,1,111,Lost Customers
12571.0,519.61,34,40,4,2,2,422,Potential Loyalists
12572.0,1020.42,60,9,5,3,3,533,Potential Loyalists
12573.0,717.41,119,227,2,4,3,243,At Risk
12574.0,218.45,11,316,2,1,1,211,Lost Customers
12575.0,622.8199999999999,38,457,1,3,3,133,At Risk
12576.0,2142.72,142,36,4,4,4,444,Champions
12577.0,1617.1,298,35,4,5,4,454,Champions
12578.0,4642.45,172,21,4,4,5,445,Champions
12579.0,440.42,29,78,3,2,2,322,Need Attention
